"","pidm","tuthours","admsatm","admri","termcred","fgrdnum","tutpart","athpart","demafam","demhis","demgender","demgrkpart","acafr","acaso","ptermcumgpa","tuthourssq","tuthourscu","cr1","cr2","cr3","cr4","cr5","cr6","cr7","cr8","cr9","cr10","cr11","cr12","cr13","cr14","cr15","cr16","cr17","cr18","cr19","cr22","cr23","cr24","cr26","cr27","cr28","cr29","cr30","cr31","cr33","cr34","cr35","cr36","cr37","cr38","cr39","cr40","cr41","cr42","cr43","cr45","cr46","cr47","cr48","cr49","cr50","cr51","cr52","cr53","cr54","cr55","cr56","cr57","cr58","cr61","cr62","cr63","cr64","cr65","cr66","cr67","cr68","cr69","cr70","cr71","cr72","cr73","cr74","cr75","cr76","cr77","cr79","cr80","cr81","cr82","cr83","cr84","cr85","cr86","cr87","acarec","acalab","y1","y2","genresz","tutfdemfhours","tutmdemmhours","tutfdemmhours","tutmdemfhours","tutmmafhrs","tutmmamhrs","tutmbufhrs","tutmbumhrs","tutmenmhrs"
"21",70161241,0,670,80,15,4,0,1,0,0,0,0,0,0,3.24785709381104,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000216621090658009,0,0,0,0,0,0,0,0,0
"22",70166499,0,700,57,6,0,0,0,0,0,1,0,0,1,2.23823499679565,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000208490513614379,0,0,0,0,0,0,0,0,0
"23",70166629,0,710,66,16,2.70000004768372,0,0,0,0,1,0,0,0,2.25206899642944,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.38302114768885e-05,0,0,0,0,0,0,0,0,0
"24",70167559,0,770,73,18,3.70000004768372,0,0,0,0,1,0,0,0,3.91298699378967,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.78313621290727e-05,0,0,0,0,0,0,0,0,0
"25",70171021,0,690,67,16,3.29999995231628,0,0,0,0,1,0,0,1,2.72333288192749,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000123606630950235,0,0,0,0,0,0,0,0,0
"26",70176068,0,690,61,17,2.70000004768372,0,0,0,0,1,1,0,1,2.17448306083679,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000208358280360699,0,0,0,0,0,0,0,0,0
"27",70176463,0,710,63,16,3,0,0,0,0,1,0,0,0,3.34082007408142,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.25341238244437e-05,0,0,0,0,0,0,0,0,0
"28",70178645,0,770,65,13,1.29999995231628,0,0,0,0,1,1,0,0,2.66499996185303,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.15624376223423e-05,0,0,0,0,0,0,0,0,0
"29",70182061,0,550,59,16,2.70000004768372,0,0,0,0,1,1,0,1,2.65030288696289,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000516346306540072,0,0,0,0,0,0,0,0,0
"30",70182073,0,780,57,15,3.29999995231628,0,0,0,0,1,0,0,1,2.51200008392334,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.77172938594595e-05,0,0,0,0,0,0,0,0,0
"31",70182092,0,640,67,16,4,0,0,0,0,0,0,0,1,3.03575801849365,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000320930528687313,0,0,0,0,0,0,0,0,0
"32",70182576,0,710,68,11,3,0,0,0,0,1,0,0,1,2.53366708755493,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000132074259454384,0,0,0,0,0,0,0,0,0
"33",70183724,0,660,61,13,0.699999988079071,0,0,0,0,1,0,0,1,2.5096869468689,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000199727233848535,0,0,0,0,0,0,0,0,0
"34",70186349,0,670,58,13,2,0,0,0,0,1,0,0,1,2.88124990463257,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000170726969372481,0,0,0,0,0,0,0,0,0
"35",70187217,0,730,71,17,3.29999995231628,0,0,0,0,0,1,0,1,3.52033305168152,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000182007206603885,0,0,0,0,0,0,0,0,0
"36",70187380,0,570,69,10,0,0,1,0,0,1,0,0,0,2.6019299030304,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000374788825865835,0,0,0,0,0,0,0,0,0
"37",70191268,0,630,65,14,3,0,0,0,0,1,0,0,0,3.56478309631348,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000109781940409448,0,0,0,0,0,0,0,0,0
"38",70196748,0,720,79,18,3.29999995231628,0,0,0,0,1,0,0,1,3.9674289226532,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.97598193760496e-05,0,0,0,0,0,0,0,0,0
"39",70197221,0,660,58,13,3,0,0,0,0,1,1,0,1,2.88625001907349,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00025414684205316,0,0,0,0,0,0,0,0,0
"40",70197228,0,660,60,12,2.70000004768372,0,0,0,0,1,0,0,1,2.87750005722046,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000188293372048065,0,0,0,0,0,0,0,0,0
"41",70198560,0,680,62,16,2.29999995231628,0,1,0,0,1,0,0,1,2.93774199485779,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000200922280782834,0,0,0,0,0,0,0,0,0
"42",70199065,0,600,68,15,2,0,1,0,0,0,1,0,0,3.16249990463257,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000528435979504138,0,0,0,0,0,0,0,0,0
"43",70199433,0,670,61,7,0,0,1,0,0,1,0,0,1,2.17000007629395,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000357718701707199,0,0,0,0,0,0,0,0,0
"44",70199668,0,800,73,18,4,0,0,0,0,1,1,0,1,3.60500001907349,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.11521759815514e-05,0,0,0,0,0,0,0,0,0
"45",70200571,0,730,73,13,3,0,0,0,1,1,1,0,0,3.34888911247253,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.97740426100791e-05,0,0,0,0,0,0,0,0,0
"46",70201745,0,740,66,13,2,0,0,0,0,1,1,0,1,2.70666694641113,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000130499945953488,0,0,0,0,0,0,0,0,0
"47",70202544,0,640,60,15,2.70000004768372,0,0,0,0,0,0,0,0,2.89931011199951,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000244622671743855,0,0,0,0,0,0,0,0,0
"48",70202552,0,800,73,10,2,0,0,0,0,1,0,0,1,2.43702697753906,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.89206538279541e-05,0,0,0,0,0,0,0,0,0
"49",70202602,0,650,57,13,3,0,1,0,0,1,0,0,1,3.10999989509583,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00027873829822056,0,0,0,0,0,0,0,0,0
"50",70203779,0,620,71,15,4,0,0,0,0,1,1,0,1,2.72645211219788,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000296889484161511,0,0,0,0,0,0,0,0,0
"51",70212082,0,720,70,18,3.29999995231628,0,0,0,0,1,1,0,1,3.81874990463257,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.63276363816112e-05,0,0,0,0,0,0,0,0,0
"52",70212102,0,610,54,12,1.29999995231628,0,1,0,1,0,1,0,1,2.26769208908081,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00119746499694884,0,0,0,0,0,0,0,0,0
"53",70212210,2.5,640,67,13,3.29999995231628,1,0,0,0,0,1,0,1,3.3368968963623,6.25,15.625,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101437278091908,2.5,0,0,0,0,0,0,0,0
